env_name,N_agents,local_ratio,model_path,test_method,sample_size,test_budget,avg_reward,avg_time_taken,top_percentage
simple_spread_v3,2,0.8,central_policies/simple_spread_v3_2_08/model.zip,Genetic Testing,25,1000,-14.017651422402846,27.06687565803528,0.9
simple_spread_v3,2,0.8,central_policies/simple_spread_v3_2_08/model.zip,Genetic Q-testing,25,1000,-18.510988839231356,36.42048829078674,0.9
simple_spread_v3,2,0.9,central_policies/simple_spread_v3_2_09/model.zip,Random Testing,25,1000,-6.551989538081649,27.291904163360595,0.9
simple_spread_v3,2,0.9,central_policies/simple_spread_v3_2_09/model.zip,Random Q-testing,25,1000,-6.563854142708184,34.21294068336487,0.9
simple_spread_v3,2,0.9,central_policies/simple_spread_v3_2_09/model.zip,Random Q-low-testing,25,1000,-6.719695530617132,0.8462514495849609,0.9
simple_spread_v3,2,0.9,central_policies/simple_spread_v3_2_09/model.zip,Genetic Testing,25,1000,-7.791710225363512,27.353884830474854,0.9
simple_spread_v3,2,0.9,central_policies/simple_spread_v3_2_09/model.zip,Genetic Q-testing,25,1000,-8.141321686222463,41.25616305351257,0.9
simple_spread_v3,2,1.0,central_policies/simple_spread_v3_2_10/model.zip,Random Testing,25,1000,-0.12080000000000003,31.291546211242675,0.9
simple_spread_v3,2,1.0,central_policies/simple_spread_v3_2_10/model.zip,Random Q-testing,25,1000,-0.0029600000000000004,38.08380479812622,0.9
simple_spread_v3,2,1.0,central_policies/simple_spread_v3_2_10/model.zip,Genetic Testing,25,1000,-0.8696800000000002,30.069919509887697,0.9
simple_spread_v3,2,1.0,central_policies/simple_spread_v3_2_10/model.zip,Genetic Q-testing,25,1000,-0.03472,37.20160668373108,0.9
simple_spread_v3,2,1.0,central_policies/simple_spread_v3_2_10/model.zip,Random Testing,25,1000,-0.12080000000000003,31.291546211242675,0.9
simple_spread_v3,2,1.0,central_policies/simple_spread_v3_2_10/model.zip,Random Q-testing,25,1000,-0.0029600000000000004,38.08380479812622,0.9
simple_spread_v3,2,1.0,central_policies/simple_spread_v3_2_10/model.zip,Genetic Testing,25,1000,-0.8696800000000002,30.069919509887697,0.9
simple_spread_v3,2,1.0,central_policies/simple_spread_v3_2_10/model.zip,Genetic Q-testing,25,1000,-0.03472,37.20160668373108,0.9
