env_name,N_agents,local_ratio,model_path,test_method,sample_size,test_budget,avg_reward,avg_time_taken,top_percentage
Simple Spread,2,0.3,central_policies/simple_spread_v3_2_03/model.zip,Random Testing,25,1000,-40.391816565107426,27.393260068893433,0.9
Simple Spread,2,0.3,central_policies/simple_spread_v3_2_03/model.zip,Random DisQ Testing,25,1000,-38.28192968721254,34.52178534507752,0.9
Simple Spread,2,0.3,central_policies/simple_spread_v3_2_03/model.zip,Random Q-low Testing,25,1000,-39.6060869965913,0.9587093448638916,0.9
Simple Spread,2,0.3,central_policies/simple_spread_v3_2_03/model.zip,Genetic Testing,25,1000,-42.66709109868042,27.251122283935548,0.9
Simple Spread,2,0.3,central_policies/simple_spread_v3_2_03/model.zip,Genetic DisQ Testing,25,1000,-46.86258817849507,33.94434817314148,0.9
Simple Spread,2,0.4,central_policies/simple_spread_v3_2_04/model.zip,Random Testing,25,1000,-36.97054132663994,27.41523003578186,0.9
Simple Spread,2,0.4,central_policies/simple_spread_v3_2_04/model.zip,Random DisQ Testing,25,1000,-40.176823127610476,33.77089716911316,0.9
Simple Spread,2,0.4,central_policies/simple_spread_v3_2_04/model.zip,Random Q-low Testing,25,1000,-35.90786345521629,1.011905641555786,0.9
Simple Spread,2,0.4,central_policies/simple_spread_v3_2_04/model.zip,Genetic Testing,25,1000,-40.779223515255175,27.239068908691408,0.9
Simple Spread,2,0.4,central_policies/simple_spread_v3_2_04/model.zip,Genetic DisQ Testing,25,1000,-41.69616215576326,51.31872812271118,0.9
Simple Spread,2,0.5,central_policies/simple_spread_v3_2_05/model.zip,Random Testing,25,1000,-31.98996587218825,27.382779417037963,0.9
Simple Spread,2,0.5,central_policies/simple_spread_v3_2_05/model.zip,Random DisQ Testing,25,1000,-32.429436754390636,33.8665430355072,0.9
Simple Spread,2,0.5,central_policies/simple_spread_v3_2_05/model.zip,Random Q-low Testing,25,1000,-32.10566758584257,0.8903552436828613,0.9
Simple Spread,2,0.5,central_policies/simple_spread_v3_2_05/model.zip,Genetic Testing,25,1000,-35.28496574324532,27.241212587356568,0.9
Simple Spread,2,0.5,central_policies/simple_spread_v3_2_05/model.zip,Genetic DisQ Testing,25,1000,-41.496542866577684,36.1868927192688,0.9
Simple Spread,2,0.6,central_policies/simple_spread_v3_2_06/model.zip,Random Testing,25,1000,-23.5744144062815,27.482548751831054,0.9
Simple Spread,2,0.6,central_policies/simple_spread_v3_2_06/model.zip,Random DisQ Testing,25,1000,-24.93682348109373,32.6520290184021,0.9
Simple Spread,2,0.6,central_policies/simple_spread_v3_2_06/model.zip,Random Q-low Testing,25,1000,-23.36582044754407,0.9052585411071777,0.9
Simple Spread,2,0.6,central_policies/simple_spread_v3_2_06/model.zip,Genetic Testing,25,1000,-26.1359762659729,27.2318722820282,0.9
Simple Spread,2,0.6,central_policies/simple_spread_v3_2_06/model.zip,Genetic DisQ Testing,25,1000,-32.44291652474195,33.68559532165527,0.9
Simple Spread,2,0.7,central_policies/simple_spread_v3_2_07/model.zip,Random Testing,25,1000,-17.16866412708343,27.703915462493896,0.9
Simple Spread,2,0.7,central_policies/simple_spread_v3_2_07/model.zip,Random DisQ Testing,25,1000,-18.578543641201662,33.52653031349182,0.9
Simple Spread,2,0.7,central_policies/simple_spread_v3_2_07/model.zip,Random Q-low Testing,25,1000,-16.784714201811468,0.9149416542053223,0.9
Simple Spread,2,0.7,central_policies/simple_spread_v3_2_07/model.zip,Genetic Testing,25,1000,-19.667468421796787,27.454497003555296,0.9
Simple Spread,2,0.7,central_policies/simple_spread_v3_2_07/model.zip,Genetic DisQ Testing,25,1000,-27.546164240009492,45.5093408203125,0.9
Simple Spread,2,0.8,central_policies/simple_spread_v3_2_08/model.zip,Random Testing,25,1000,-11.730394718040891,26.99728593826294,0.9
Simple Spread,2,0.8,central_policies/simple_spread_v3_2_08/model.zip,Random DisQ Testing,25,1000,-13.09419009407286,32.95250514984131,0.9
Simple Spread,2,0.8,central_policies/simple_spread_v3_2_08/model.zip,Random Q-low Testing,25,1000,-11.757783617462012,0.8408571434020996,0.9
Simple Spread,2,0.8,central_policies/simple_spread_v3_2_08/model.zip,Genetic Testing,25,1000,-14.017651422402846,27.06687565803528,0.9
Simple Spread,2,0.8,central_policies/simple_spread_v3_2_08/model.zip,Genetic DisQ Testing,25,1000,-18.510988839231356,36.42048829078674,0.9
Simple Spread,2,0.9,central_policies/simple_spread_v3_2_09/model.zip,Random Testing,25,1000,-6.551989538081649,27.291904163360595,0.9
Simple Spread,2,0.9,central_policies/simple_spread_v3_2_09/model.zip,Random DisQ Testing,25,1000,-6.563854142708184,34.21294068336487,0.9
Simple Spread,2,0.9,central_policies/simple_spread_v3_2_09/model.zip,Random Q-low Testing,25,1000,-6.719695530617132,0.8462514495849609,0.9
Simple Spread,2,0.9,central_policies/simple_spread_v3_2_09/model.zip,Genetic Testing,25,1000,-7.791710225363512,27.353884830474854,0.9
Simple Spread,2,0.9,central_policies/simple_spread_v3_2_09/model.zip,Genetic DisQ Testing,25,1000,-8.141321686222463,41.25616305351257,0.9
Simple Spread,2,0.0,central_policies/simple_spread_v3_2/model.zip,Random Testing,25,1000,-56.828983052200755,27.282746295928956,0.0
Simple Spread,2,0.0,central_policies/simple_spread_v3_2/model.zip,Random DisQ Testing,25,1000,-57.15060645506665,28.063268299102784,0.0
Simple Spread,2,0.0,central_policies/simple_spread_v3_2/model.zip,Random Q-low Testing,25,1000,-56.013592176847084,0.8993720245361329,0.0
Simple Spread,2,0.0,central_policies/simple_spread_v3_2/model.zip,Genetic Testing,25,1000,-64.39672543382115,37.29977878570557,0.0
Simple Spread,2,0.0,central_policies/simple_spread_v3_2/model.zip,Genetic DisQ Testing,25,1000,-60.37280055827402,61.4893895816803,0.0
Simple Spread,2,0.0,central_policies/simple_spread_v3_2/model.zip,Random Testing,25,1000,-57.009860473293145,74.5149573802948,0.1
Simple Spread,2,0.0,central_policies/simple_spread_v3_2/model.zip,Random DisQ Testing,25,1000,-57.01414975567001,65.25258213996887,0.1
Simple Spread,2,0.0,central_policies/simple_spread_v3_2/model.zip,Random Q-low Testing,25,1000,-58.19280554111717,2.196454629898071,0.1
Simple Spread,2,0.0,central_policies/simple_spread_v3_2/model.zip,Genetic Testing,25,1000,-60.89048701660187,53.364848403930665,0.1
Simple Spread,2,0.0,central_policies/simple_spread_v3_2/model.zip,Genetic DisQ Testing,25,1000,-66.23406456907315,27.501303844451904,0.1
Simple Spread,2,0.0,central_policies/simple_spread_v3_2/model.zip,Random Testing,25,1000,-56.9734246205482,26.27102979660034,0.2
